131	8365	19
101	6465	14
3424	4733	0
101	9289	18
102	4326	2
21	4758	33
168	8711	1
2172	7942	11
6301	8980	25
523	113	10
149	3349	5
12	6286	14
29547	427	6
101	7467	6
10088	879	4
28819	7423	37
381	4702	14
820	8381	10
116	9931	15
102	4775	20
1431	4965	4
102	9358	13
146	9576	9
1916	2801	1
196	1423	0
3518	1143	32
274	5201	10
300	2445	14
2530	7609	1
2776	4771	2
5012	8377	25
29758	6533	34
2148	2271	12
3923	5499	6
14	6438	18
116	6671	9
14	5164	9
27119	9007	1
750	2653	19
11170	6467	23
111	4436	11
1449	3849	26
102	1321	4
1619	2893	4
107	4114	14
607	4317	4
5163	6731	16
2035	844	16
305	2182	11
12889	2516	12
720	5004	11
358	9772	22
276	1951	14
12	4998	13
23285	9660	9
103	2302	34
226	7956	11
14	3193	41
138	5077	14
185	2693	6
1557	7869	14
14	7986	33
226	8411	23
970	1834	29
31768	4759	3
21	9960	5
103	5638	10
147	4142	12
1305	1101	12
104	559	10
2	639	17
3464	900	30
198	2338	20
2592	7556	10
12	873	15
4545	9868	12
181	9478	1
12	5419	5
1455	8531	3
10892	9535	0
103	1483	20
2175	9882	0
430	7587	1
107	8343	11
315	3479	16
428	6436	10
26448	1725	19
13659	424	8
595	367	2
178	5771	4
307	8965	5
110	7932	2
207	3003	8
3690	4174	13
110	8721	2
1147	5820	5
692	8345	25
288	8775	20
36720	5009	21
3548	5776	2
109	7220	17
307	2574	5
14068	1497	10
106	3474	5
485	5390	11
101	5349	17
201	1179	16
1345	4831	19
409	7306	5
2503	1008	26
225	9982	14
137	1047	10
106	8756	13
161	3391	4
5042	3658	10
2	185	5
222	369	3
188	2706	12
102	771	14
104	268	2
17590	1634	0
57	4060	0
31298	8948	8
146	8070	5
106	1589	22
105	3463	3
321	8228	1
1745	5612	1
14	459	29
173	1520	5
1639	6142	30
108	6332	9
110	8406	2
194	5696	16
6518	2582	4
170	3870	0
103	8024	32
7816	1912	3
8160	2751	33
677	7837	18
121	568	3
123	3288	8
103	7918	11
12	4744	9
12	1226	3
12	5446	11
104	5605	18
794	3466	0
243	6532	33
115	456	6
152	1621	7
104	9703	21
282	265	35
1711	924	24
14	4873	19
461	2408	18
280	2783	7
144	6829	7
1755	2194	20
107	2993	7
102	8807	13
32744	5058	31
1339	3690	18
713	4749	28
5179	4490	10
8771	6354	10
29231	5306	14
104	8879	1
1086	2507	11
102	203	30
34055	531	16
14	3245	28
572	4492	28
2067	2553	21
285	8654	13
280	4054	5
8976	2024	11
202	1245	22
107	499	8
179	518	18
12	1549	3
4627	6064	12
104	7117	21
9554	1219	19
446	963	10
34199	4938	19
12146	8720	6
106	5055	12
108	6801	5
6334	634	11
105	4010	15
112	7127	0
3544	8295	10
14	4714	25
5450	6717	5
102	8516	5
2833	7332	7
104	9349	11
9	7696	33
350	4799	7
15620	390	0
102	7593	5
6007	2441	16
101	588	3
101	3747	4
120	8775	2
1765	6884	10
14	67	15
666	5483	14
14	2914	10
303	7114	12
112	7769	0
174	4618	35
103	9391	23
151	5278	1
103	778	6
242	6203	2
5043	958	15
1219	543	4
132	1930	1
486	4687	23
111	6681	20
104	3179	23
34001	3577	8
19435	4925	2
549	7063	3
1005	7484	6
1958	5879	2
6461	1214	16
121	3572	12
2111	9904	18
13417	1430	7
10494	7	5
106	1758	14
1071	2922	1
608	3376	1
111	3961	2
1412	9831	20
14	1354	13
528	3455	4
15628	395	0
101	7656	12
112	8307	0
112	7326	0
101	5932	21
3939	3568	0
4467	2406	14
12	8394	12
204	4433	23
5257	9195	23
2707	9630	42
288	3311	24
1002	5075	30
183	967	21
8938	2247	22
6647	7060	11
198	200	16
103	3055	18
110	8082	29
32464	1243	11
103	2570	14
15752	677	0
104	4812	9
407	4255	1
12	4719	16
134	9555	15
21949	9349	12
6617	6938	2
1767	8188	19
12	2343	1
12	3817	3
102	2955	20
19627	4879	1
4518	3856	2
4215	9696	20
610	2951	21
10787	5804	5
108	4725	5
171	8279	13
2404	4949	3
11295	8117	3
18211	1796	0
13221	3309	25
987	3064	19
282	5113	21
106	9585	12
3571	27	26
106	3643	26
105	4654	25
273	3891	15
101	3553	3
148	216	9
113	1577	17
932	4692	0
32350	411	21
17388	386	15
154	2709	21
113	3309	8
350	3451	19
12	6764	9
12	8362	23
138	8476	8
1886	9724	7
1198	7622	9
9	5486	18
402	4469	14
1632	3586	9
20815	7474	9
30771	456	10
512	1878	23
2	9267	29
24476	601	10
12	869	14
181	9482	0
117	1326	2
532	4180	31
164	905	6
434	2237	14
3991	2474	32
1326	6439	2
101	3019	9
105	5066	17
5618	1176	3
19464	518	8
14	768	28
107	9904	20
109	7801	6
1040	2710	6
1353	9603	20
101	6150	23
30329	3202	18
14	8490	25
101	5388	12
107	4027	20
102	4164	7
167	439	32
2301	1549	2
31783	7480	12
754	3413	39
129	8889	33
464	4873	14
19839	2619	4
12	3241	1
560	4327	0
558	4840	12
37625	691	13
22171	6797	14
7318	804	5
110	6237	11
21791	4711	0
101	7402	9
104	2941	33
103	3525	24
27267	219	23
109	9848	24
449	4571	8
852	1317	4
206	6099	10
882	2026	27
11833	2467	23
7407	6249	1
1321	3371	13
1274	4049	4
208	1257	2
107	1344	32
131	3011	22
1095	3005	18
400	3576	6
108	9399	4
241	8382	12
3892	7531	33
770	5601	12
722	3237	9
847	5195	1
101	5253	10
2026	7255	2
1956	2740	8
19460	136	29
944	1894	2
9	833	22
2629	8356	15
12	7631	5
2907	1773	22
5371	1499	14
136	1144	2
12	7210	25
20929	5209	1
114	4991	34
426	9795	1
12	8482	5
253	452	13
14	5422	12
5514	4779	0
101	355	10
37944	5618	8
2677	7679	4
12	8318	34
162	9398	15
105	8009	12
101	3177	17
173	380	0
158	2193	2
4763	3460	3
16	4731	1
2115	4273	17
14	6883	23
262	9990	2
102	4427	23
13933	7137	5
155	184	7
103	7205	10
374	1643	8
14	2251	21
5899	9797	13
101	6055	22
124	4572	19
1090	8113	29
108	5746	3
35822	6174	14
7	8599	2
4111	7311	21
12	7010	13
5890	9244	29
332	1514	19
797	2121	8
2972	8567	2
14	6120	24
7259	3618	9
321	7014	12
855	6055	23
770	5251	18
24763	610	16
20970	5534	11
644	1070	11
4534	1972	21
12	3717	25
102	5985	29
1382	6442	0
315	5047	12
2236	4090	3
21	1920	7
4705	5884	4
14	5545	14
5090	9594	7
21	9742	8
14	8805	11
2680	8454	22
232	3366	21
3990	5979	0
585	6068	33
2754	4353	14
130	8549	20
2408	8643	4
2398	6026	15
62	5158	47
102	3981	6
12	3361	19
421	1075	12
107	8597	14
12	7011	25
109	8376	30
407	8311	10
21931	8740	12
12	8079	7
240	1242	5
2161	5243	21
1642	6713	0
873	252	16
21661	6087	1
29002	8474	37
120	1384	4
3619	230	3
34333	3860	10
145	3427	2
12	7891	32
21	6593	20
12	1891	28
57	5235	8
117	4417	4
157	4120	11
3343	276	41
2	443	0
1114	634	3
109	8988	20
2	7556	40
5193	8209	4
201	2195	14
110	3857	5
2915	9297	3
559	3606	32
11073	7279	9
9	759	18
9989	1151	5
1607	279	20
12	1392	6
9	5132	35
233	2648	11
157	6351	8
6992	4670	0
216	3803	20
14	9044	13
103	6875	26
102	1217	34
8225	3872	10
101	213	14
6737	4826	3
8168	710	25
101	5783	4
154	6088	12
130	4182	21
320	4343	21
57	6350	3
102	595	7
16313	1087	0
1817	7450	15
115	6523	4
25471	9217	15
127	7947	6
139	3438	6
29713	151	1
678	9895	19
3312	5289	6
479	5474	0
272	9067	29
20548	757	33
1686	4067	6
4551	2217	0
21	9720	14
121	4973	4
12	7450	11
224	680	16
12	1618	26
104	7058	12
155	5556	36
171	8744	13
201	870	17
114	4854	11
14	8759	7
121	8395	9
633	3488	24
2519	6965	2
29325	6092	7
214	4977	3
19709	2575	0
101	3865	1
118	9788	9
223	4267	26
126	3235	10
636	4329	11
896	5358	5
101	9654	11
5798	389	31
102	6265	8
20037	294	14
1224	3743	19
12	413	12
328	8868	2
223	4879	16
20448	3142	1
1850	539	1
101	5648	6
10003	2924	19
16109	3660	12
1416	7586	3
105	9849	20
120	9552	15
2	588	18
154	2283	1
20394	3126	0
1905	2394	8
109	3466	14
117	826	30
134	591	10
103	7409	16
4006	3594	24
101	305	6
106	782	3
187	3049	13
109	8874	16
12	6739	11
8381	6655	10
8780	4194	9
9215	601	35
14	5235	16
790	9577	17
2536	4917	0
101	2032	20
2194	2108	6
199	2677	13
4451	3431	1
105	7700	16
147	1872	21
1611	4983	23
1330	9806	28
4976	40	13
732	8397	18
142	9661	15
737	5629	25
12	4504	2
4285	9117	13
108	591	9
223	5897	2
7207	4564	6
3711	4235	15
101	6455	17
12	4668	8
546	2021	12
3012	7766	29
3219	3127	19
7	9192	2
113	6134	1
12	4347	8
1247	520	9
3282	5025	12
435	6473	22
1615	9814	26
14	5365	6
177	3342	8
463	9780	1
659	493	14
554	6590	10
101	3159	7
112	7011	1
19829	2614	0
20365	5909	7
14	6655	29
8544	7049	14
115	8593	2
721	593	8
16701	4684	12
1024	4353	10
12	4057	17
29658	2711	3
272	1472	8
37154	9702	8
535	781	6
232	1279	18
12	4346	28
7405	2525	4
2396	5437	3
1071	6293	8
33937	8763	1
12	9052	17
19932	2082	7
176	5667	11
102	4594	3
10543	3311	3
2835	2331	5
10451	9984	11
103	6390	22
120	1366	18
8239	4	5
19310	4719	13
1409	3005	14
2261	8388	17
1258	3626	2
1949	6972	12
1446	5690	33
7517	2806	18
103	4368	19
6278	5050	47
510	3309	18
825	6716	22
16725	9187	11
12	7005	15
8026	6793	18
168	8660	0
2072	3224	8
216	9951	4
3663	4742	15
103	1270	19
167	3281	14
12	945	20
107	9252	12
2258	8993	18
1282	6677	21
104	9119	19
122	9742	6
395	6473	0
117	823	11
260	9792	22
959	1781	3
12	3841	37
103	5047	8
101	8947	10
1972	9606	13
212	2591	5
101	3986	2
506	2343	18
30335	7529	33
108	7562	9
123	6280	12
