452	119	3	9.92
12	2108	6	19.84
2	296	3	7.64
103	688	5	9.03
128	485	4	17.55
3314	104	3	12.35
766	102	12	43.95
2321	104	3	10.18
102	448	8	14.82
8332	122	3	33.2
105	3868	4	23.31
109	717	6	24.65
1275	118	4	23.37
4233	14	3	11.03
141	110	51	181.24
141	155	7	20.19
101	938	5	6.38
102	4911	3	15.31
300	185	6	38.1
2780	842	7	115.92
728	106	3	4.34
4649	3097	3	55.73
221	185	10	65.1
809	106	4	8.57
102	1658	7	29.72
132	126	7	8.45
165	131	5	10.87
12	141	241	938.86
3927	4696	3	58
232	118	4	8.91
974	16	3	18.21
12	211	52	133.1
614	204	3	21.18
106	359	11	28.05
162	1352	5	44.16
104	393	6	7.95
115	594	10	58.2
101	1305	9	27.22
12	3013	4	12.86
186	139	4	10.47
1362	102	4	10.07
4025	104	3	14.52
437	102	5	5.14
3031	109	7	60.38
176	134	5	13.17
150	117	16	43.8
202	104	20	35.13
1124	104	4	9.56
4807	104	3	16.06
6105	107	3	23.61
3994	104	6	45.4
3641	102	3	12.58
193	167	9	47.26
295	233	5	35.21
104	1334	3	6.57
1166	108	3	10.93
1656	14	3	4.75
672	14	5	4.83
1772	106	4	14.87
106	1301	5	17.36
127	2203	3	20.7
124	2062	3	19.56
168	110	60	289.84
103	126	31	8.68
333	105	5	4.55
2897	108	5	35.02
113	542	3	8.54
5718	105	3	18.69
750	114	3	11.25
206	101	14	4
3254	108	3	17.89
129	386	4	15.98
145	599	4	23.29
136	227	4	13.21
2644	3667	5	94.39
404	14	10	13
537	12	14	31.28
4501	755	4	65.21
4252	12	3	10.53
687	12	6	6.71
1643	138	5	41.49
101	6296	3	13.84
9	86	11	52.3
101	289	41	123.77
383	428	3	24.57
718	12	6	7.21
7447	102	3	21.93
2293	109	3	15.11
1035	150	3	19.3
113	1132	4	19.35
839	14	5	6.37
328	110	6	15.81
1366	14	5	10.6
351	252	23	257.36
110	942	5	21.63
222	14	16	12.52
151	106	13	4.5
297	120	5	16.64
111	129	39	95.94
12	1019	5	7.44
3993	773	3	44.43
2114	12	4	9.54
106	788	4	8.35
12	975	9	23
1216	102	3	5.4
106	736	3	4.34
142	136	7	16.2
107	378	5	12.13
143	876	22	241.18
3319	12	3	8.45
103	930	3	4.49
101	2475	5	15.83
101	2579	3	6.71
1174	12	7	16.54
102	187	87	354.75
112	347	3	5.47
107	1350	3	11.49
102	267	10	11.76
102	333	15	36.62
101	680	7	8.99
1488	150	3	21.65
3822	101	3	9.07
1237	114	3	14.23
257	14	12	7.76
177	123	9	24.8
157	124	5	6.91
102	5105	3	15.31
910	14	9	23.05
108	157	9	8.94
101	979	10	26.88
12	3315	3	8.45
101	935	7	13.13
118	186	4	5.61
1337	518	3	33.32
739	101	28	130.14
579	450	3	27.38
8	293	3	9.64
2583	101	4	11.45
101	2324	7	28.54
893	12	5	6.51
1305	102	5	14.34
315	119	3	7.66
2226	102	5	20.62
101	2220	3	5.63
234	481	4	30.85
3166	12	3	8.45
112	231	34	188.13
105	3807	3	13.76
106	1043	10	45.59
124	197	9	30.37
2395	152	3	25.51
7110	104	3	22.7
226	102	74	354.66
105	2961	8	55.5
102	1281	9	37.75
149	912	3	18.53
107	132	11	5.34
275	138	3	10.03
102	1145	9	34.84
406	127	3	10.42
352	111	4	9.48
3108	102	5	26.13
380	130	3	11.13
388	105	6	8.5
770	101	7	10.28
115	241	58	441.38
101	1698	4	7.5
